x       y      size
163.403 158.772 20.7 
195.000 162.000 12.0 
298.000 162.000 12.0 
304.895 162.126 17.7 
311.999 162.296 18.2 
344.261 162.864 15.5 
354.805 161.621 20.5 
407.443 163.810 17.4 
458.144 163.751 19.2 
252.099 168.748 21.1 
241.966 170.241 12.0 
166.500 178.500 24.0 
234.203 181.892 18.1 
238.698 182.128 16.7 
206.285 183.480 16.0 
159.000 186.000 12.0 
229.801 185.815 15.6 
209.979 186.945 19.8 
218.211 188.664 21.5 
183.842 191.599 18.1 
175.713 192.608 19.9 
291.014 49.452 26.3 
341.127 57.443 29.8 
349.338 56.968 29.0 
285.683 63.520 20.9 
359.250 65.250 18.0 
360.421 72.950 24.5 
210.016 74.244 25.1 
280.283 74.984 29.2 
308.866 77.630 23.4 
204.537 80.021 25.8 
230.481 81.979 35.8 
234.921 82.851 21.4 
442.163 86.761 24.6 
315.641 87.491 29.9 
338.500 88.500 26.5 
372.308 90.095 26.6 
383.604 91.440 28.4 
290.412 95.260 24.0 
444.567 96.143 25.4 
239.731 98.834 22.5 
373.665 98.395 21.0 
189.554 101.704 27.9 
198.918 100.133 27.4 
205.470 99.157 27.9 
229.737 100.433 18.0 
401.190 100.058 25.6 
290.250 103.607 23.1 
434.900 103.141 25.9 
290.438 103.479 24.5 
440.269 105.970 29.0 
237.088 110.969 28.5 
468.142 114.230 26.0 
291.750 117.750 18.0 
240.865 121.625 24.4 
191.176 121.791 28.0 
225.515 127.512 30.0 
228.843 128.898 32.2 
164.884 130.264 27.8 
184.621 129.913 27.8 
214.404 129.254 25.2 
167.821 131.565 28.7 
290.478 130.713 23.2 
225.698 136.144 26.0 
219.861 139.260 27.1 
245.608 137.607 21.8 
316.813 139.290 25.4 
307.867 140.826 21.0 
242.500 145.375 27.0 
212.770 148.192 21.3 
300.750 147.750 18.0 
314.610 150.043 23.1 
306.248 152.212 23.0 
444.072 154.444 28.8 
211.948 155.923 24.9 
450.887 157.236 25.7 
188.444 157.954 25.4 
430.057 158.106 27.2 
162.705 161.088 31.3 
328.398 160.435 25.5 
194.753 161.657 21.3 
204.301 162.646 23.3 
306.131 162.439 24.4 
322.410 162.200 23.8 
333.750 161.250 18.0 
355.735 161.726 28.4 
459.372 163.812 26.6 
463.489 167.748 27.0 
244.448 169.402 27.5 
166.439 179.067 28.7 
177.622 179.622 26.4 
200.656 182.385 25.2 
230.056 185.554 19.6 
160.837 188.749 27.8 
183.671 192.676 26.4 
190.966 194.263 25.4 
200.147 193.907 26.5 
279.917 63.546 36.2 
357.601 65.526 35.4 
308.116 75.974 32.0 
231.150 83.149 34.6 
312.742 82.301 33.4 
372.500 90.500 24.0 
337.707 91.011 31.7 
384.168 91.588 34.1 
443.396 95.478 29.4 
240.500 120.500 24.0 
166.306 130.265 34.6 
228.279 129.704 34.0 
212.356 136.903 42.0 
314.652 139.718 33.8 
443.757 154.652 36.6 
162.641 161.041 33.3 
298.236 157.708 30.3 
322.000 162.500 24.0 
244.354 169.274 29.2 
212.509 186.990 37.6 
174.728 192.727 34.8 
282.100 74.820 43.3 
231.648 86.957 40.7 
371.280 88.311 51.2 
288.829 94.191 45.3 
383.237 92.503 39.8 
191.148 98.453 44.7 
232.056 98.388 43.1 
399.476 98.049 46.6 
426.569 101.234 52.5 
238.635 114.437 46.0 
291.080 118.506 56.1 
191.277 123.550 56.3 
167.541 131.495 36.0 
227.313 130.798 43.3 
293.196 133.175 47.1 
302.758 138.154 58.2 
313.844 150.189 44.6 
191.224 157.523 49.0 
299.000 161.000 36.0 
319.181 159.449 36.0 
163.554 161.977 36.0 
203.698 163.924 53.4 
247.868 168.257 42.7 
208.494 133.241 72.0 
313.633 139.755 72.0 
