CD00016.1Arab-1 CD00050.1-Vim
x       y      x       y
390.039 161.660 393.466 28.569 
236.034 163.197 122.098 85.989 
371.977 163.001 426.343 40.000 
375.368 162.801 429.018 159.982 
395.054 162.658 344.815 162.075 
423.636 163.636 367.933 161.393 
461.889 163.889 370.500 118.393 
426.101 164.101 183.797 42.336 
438.037 163.948 144.130 148.681 
440.816 163.951 140.890 148.306 
443.747 164.004 144.884 148.989 
450.754 163.977 219.970 170.645 
457.064 164.624 442.960 94.031 
460.214 166.086 280.460 168.641 
467.434 166.555 445.926 154.165 
229.485 167.696 315.005 33.544 
470.792 168.960 394.380 74.560 
471.138 168.718 441.382 153.278 
473.862 169.262 393.138 77.824 
291.949 169.968 150.523 62.434 
271.040 170.911 448.294 81.045 
471.894 171.489 226.410 168.522 
209.044 171.873 372.950 49.885 
223.823 171.668 436.038 155.881 
211.000 174.298 414.841 88.016 
473.484 174.828 462.968 119.114 
209.524 178.766 445.758 93.460 
475.400 180.616 230.986 184.022 
478.003 179.858 341.957 46.336 
478.300 182.000 430.934 90.229 
474.212 184.273 421.457 85.984 
477.934 186.732 391.870 76.247 
489.622 201.686 78.913 91.901 
254.329 26.339 378.306 150.159 
371.461 29.914 138.475 126.605 
401.179 40.687 366.994 155.833 
406.610 44.376 178.488 60.594 
438.308 60.561 386.996 48.984 
367.750 66.250 405.163 71.859 
129.753 69.954 109.591 141.434 
277.750 73.378 135.699 93.725 
445.421 82.705 436.964 75.464 
451.763 82.936 442.304 75.260 
257.742 83.392 226.510 177.416 
92.895 85.052 426.287 54.248 
455.483 87.665 392.992 158.996 
388.639 93.999 410.817 74.914 
394.568 93.555 390.349 86.391 
251.002 94.173 403.186 116.129 
386.069 96.279 369.779 116.878 
283.750 103.750 314.471 142.433 
402.085 101.826 427.091 80.968 
379.102 104.301 251.336 82.039 
264.194 112.729 335.406 28.047 
459.478 118.535 255.201 84.538 
336.975 125.527 384.042 120.999 
93.671 135.459 237.876 27.480 
108.758 141.572 229.183 28.768 
230.097 141.301 162.392 132.760 
278.375 142.173 387.289 48.925 
426.596 153.063 168.567 131.273 
417.000 156.000 292.350 67.011 
346.667 159.148 258.046 172.650 
446.007 164.142 303.031 62.121 
228.840 168.077 440.825 153.780 
476.123 177.598 434.948 96.751 
477.243 181.712 337.177 161.733 
474.167 184.750 345.221 31.793 
372.649 45.459 70.069 47.914 
419.652 46.790 411.704 39.440 
368.500 64.500 373.903 75.948 
406.766 69.992 400.679 53.402 
140.919 72.706 377.531 38.533 
278.273 72.197 390.000 150.000 
428.304 71.890 415.883 46.867 
242.482 86.268 354.537 86.419 
90.634 86.455 310.082 86.989 
278.159 86.421 453.727 115.647 
452.038 88.607 443.197 72.578 
268.203 93.039 270.599 70.463 
460.215 92.869 442.213 84.089 
388.339 94.592 412.980 43.908 
404.855 96.620 385.480 52.345 
285.817 103.327 313.424 138.485 
380.227 104.116 213.476 166.838 
425.684 105.475 374.000 79.000 
465.640 106.833 457.470 100.500 
65.165 109.459 449.501 99.448 
457.064 110.490 278.827 53.104 
388.737 114.347 359.753 124.955 
454.104 116.282 133.591 91.821 
338.600 126.655 355.150 99.011 
93.392 135.392 242.500 170.816 
331.870 137.107 253.638 50.153 
104.186 140.341 243.058 173.058 
329.250 143.250 409.207 153.009 
124.209 146.196 392.881 79.862 
175.922 146.208 282.000 84.000 
427.037 153.809 452.784 82.904 
354.001 159.924 440.034 96.143 
359.777 159.838 327.029 153.074 
396.208 161.992 344.735 160.641 
206.750 171.554 400.486 78.121 
210.129 176.144 275.500 174.500 
426.701 64.534 418.878 153.981 
439.350 67.360 208.160 37.796 
447.917 78.651 414.161 41.690 
106.994 82.313 377.190 42.397 
450.777 86.400 444.507 82.209 
251.157 94.188 371.000 93.000 
282.824 103.376 427.044 142.885 
229.937 142.440 234.879 86.537 
327.988 141.796 177.877 157.054 
336.699 150.215 395.931 135.937 
324.483 155.111 445.836 84.000 
261.592 171.649 347.628 162.493 
117.101 80.476 379.050 33.713 
242.498 101.719 423.823 73.923 
275.574 107.803 358.712 148.413 
66.329 124.348 457.000 91.000 
81.824 130.035 452.328 87.477 
346.997 158.656 191.784 41.181 
377.761 161.664 290.232 167.876 
300.677 168.238 93.613 133.951 
210.330 176.157 138.964 103.032 
